Aspect Ratio,Circularity,Convexity,Solidity,Rectangularity,Herbal
0.329896907,0.306678348,1.037613489,0.921420565,1.788590819,Balbas-pusa
0.331081081,0.316244752,1.042091837,0.91687135,1.726872247,Balbas-pusa
0.402298851,0.277816915,1.129120879,0.849280801,1.834582943,Balbas-pusa
0.409961686,0.301425516,1.080381471,0.881383662,1.851431981,Balbas-pusa
0.326923077,0.270514182,1.118075802,0.895932083,1.745104232,Balbas-pusa
0.472477064,0.299975231,1.142410016,0.87694747,1.765112806,Balbas-pusa
0.352,0.341497533,1.041666667,0.935637999,1.652147792,Balbas-pusa
0.392712551,0.312608468,1.059766764,0.900794738,1.822254335,Balbas-pusa
0.386178862,0.294133082,1.076923077,0.889311062,1.883917775,Balbas-pusa
0.399082569,0.319589557,1.052631579,0.880781263,1.820677738,Balbas-pusa
0.45,0.343290553,1.063091483,0.889733295,1.755036261,Balbas-pusa
0.393305439,0.333005586,1.055722892,0.909484565,1.725234219,Balbas-pusa
0.399193548,0.337974535,1.066666667,0.92979769,1.685222047,Balbas-pusa
0.37826087,0.334384086,1.037974684,0.898329019,1.747445638,Balbas-pusa
0.404545455,0.316725747,1.07980456,0.900804943,1.767307519,Balbas-pusa
0.362831858,0.32184211,1.04723127,0.924077145,1.750118047,Balbas-pusa
0.37295082,0.275621225,1.139221557,0.921302676,1.74807117,Balbas-pusa
0.398340249,0.341420596,1.041666667,0.91864477,1.737850222,Balbas-pusa
0.349282297,0.32846614,1.082142857,0.917510992,1.5894364,Balbas-pusa
0.430051813,0.344687388,1.076363636,0.903137918,1.666389265,Balbas-pusa
0.346534653,0.308279418,1.08302583,0.921609246,1.672778895,Balbas-pusa
0.407582938,0.337454562,1.059121622,0.918319415,1.718859524,Balbas-pusa
0.411458333,0.359830346,1.036900369,0.937396352,1.677134011,Balbas-pusa
0.418367347,0.303016224,1.087272727,0.890805785,1.863852488,Balbas-pusa
0.415730337,0.325373692,1.098,0.893417287,1.687852383,Balbas-pusa
0.414772727,0.335161755,1.078629032,0.892447978,1.682997118,Balbas-pusa
